Platform	Platform_Tag	Pivot_Features
SH	pft.	tense_perf|mood_ind
SH	per. pft.	tense_perf|mood_ind|formation_peri
SH	impft.	tense_impft|mood_ind
SH	inj.	tense_pres|mood_inj
SH	fut.	tense_fut|mood_ind
SH	per. fut.	tense_fut|mood_ind|formation_peri
SH	cond.	tense_fut|mood_cond
SH	cond. inj.	tense_fut|mood_inj
SH	aor.	tense_aor|mood_ind
SH	aor_1	tense_aor|mood_ind|formation_root
SH	aor_2	tense_aor|mood_ind|formation_them
SH	aor_3	tense_aor|mood_ind|formation_red
SH	aor_4	tense_aor|mood_ind|formation_s
SH	aor_5	tense_aor|mood_ind|formation_is
SH	aor_6	tense_aor|mood_ind|formation_sis
SH	aor_7	tense_aor|mood_ind|formation_sa
SH	aor. inj.	tense_aor|mood_inj
SH	subj.	tense_pres|mood_subj
SH	aor. subj.	tense_aor|mood_subj
SH	plp. pft.	tense_plp|mood_ind
SH	ac.	prayoga_karwari|paxa_parasmE
SH	md.	prayoga_karwari|paxa_Awmane
SH	mo.	prayoga_karwari|paxa_Awmane
SH	ps.	prayoga_karmaNi|paxa_Awmane
SH	[1]	class_1
SH	[2]	class_2
SH	[3]	class_3
SH	[4]	class_4
SH	[5]	class_5
SH	[6]	class_6
SH	[7]	class_7
SH	[8]	class_8
SH	[9]	class_9
SH	[10]	class_10
SH	[vn.]	class_vn
SH	ind.	ind
SH	abs.	verbform_abs
SH	ppr.	verbform_part|tense_pres
SH	ppf.	verbform_part|tense_perf
SH	pfu.	verbform_part|tense_fut
SH	ppa.	verbform_part|tense_past|prayoga_karwari
SH	pp.	verbform_part|tense_past|prayoga_karmaNi
SH	pfp_1	verbform_gdv|kqw_yaw
SH	pfp_2	verbform_gdv|kqw_anIyar
SH	pfp_3	verbform_gdv|kqw_wavyaw
SH	inf.	verbform_inf|kqw_wumun
SH	iic.	compound_base|comp_iic
SH	iiv.	compound_base|comp_iiv
ByT5	Gender=Masculine	gender_masc
ByT5	Gender=Feminine	gender_fem
ByT5	Gender=Neuter	gender_neut
ByT5	Case=Nominative	case_nom
ByT5	Case=Accusative	case_acc
ByT5	Case=Instrumental	case_ins
ByT5	Case=Dative	case_dat
ByT5	Case=Ablative	case_abl
ByT5	Case=Genitive	case_gen
ByT5	Case=Locative	case_loc
ByT5	Case=Vocative	case_voc
ByT5	Number=Singular	num_sg
ByT5	Number=Dual	num_du
ByT5	Number=Plural	num_pl
ByT5	Person=1	person_1
ByT5	Person=2	person_2
ByT5	Person=3	person_3
ByT5	Tense=Present	tense_pres
ByT5	Tense=Past	tense_aor||tense_past||tense_perf
ByT5	Tense=Future	tense_fut
ByT5	Tense=Imperfect	tense_impft
ByT5	Tense=Pluperfect	tense_plp
ByT5	Mood=Indicative	mood_ind
ByT5	Mood=Imperative	mood_imp
ByT5	Mood=Optative	mood_opt||mood_prec
ByT5	Mood=Subjunctive	mood_subj
ByT5	Mood=Jussive	mood_inj||mood_jus
ByT5	Mood=Conditional	mood_cond
ByT5	Formation=Periphrastic	formation_peri
ByT5	Formation=root	formation_root
ByT5	Formation=them	formation_them
ByT5	Formation=red	formation_red
ByT5	Formation=s	formation_s
ByT5	Formation=is	formation_is
ByT5	Formation=sis	formation_sis
ByT5	Formation=sa	formation_sa
ByT5	Voice=Passive	prayoga_karmaNi|paxa_Awmane
ByT5	Indeclinable	ind
ByT5	VerbForm=Participle	verbform_part
ByT5	VerbForm=Gerundive	verbform_gdv
ByT5	VerbForm=Converb	verbform_abs
ByT5	VerbForm=Infinitive	verbform_inf|kqw_wumun
ByT5	Case=Compound	compound_base
DCS	Gender=Masc	gender_masc
DCS	Gender=Fem	gender_fem
DCS	Gender=Neut	gender_neut
DCS	Case=Nom	case_nom
DCS	Case=Acc	case_acc
DCS	Case=Ins	case_ins
DCS	Case=Dat	case_dat
DCS	Case=Abl	case_abl
DCS	Case=Gen	case_gen
DCS	Case=Loc	case_loc
DCS	Case=Voc	case_voc
DCS	Number=Sing	num_sg
DCS	Number=Dual	num_du
DCS	Number=Plur	num_pl
DCS	Person=1	person_1
DCS	Person=2	person_2
DCS	Person=3	person_3
DCS	Tense=Pres	tense_pres
DCS	Tense=Past	tense_aor||tense_past||tense_perf
DCS	Tense=Fut	tense_fut
DCS	Tense=Impf	tense_impft
DCS	Tense=plp	tense_plp
DCS	Mood=Ind	mood_ind
DCS	Mood=Imp	mood_imp
DCS	Mood=Opt	mood_opt||mood_prec
DCS	Mood=Sub	mood_subj
DCS	Mood=Jus	mood_inj||mood_jus
DCS	Mood=Cond	mood_cond
DCS	Formation=peri	formation_peri
DCS	Formation=root	formation_root
DCS	Formation=them	formation_them
DCS	Formation=red	formation_red
DCS	Formation=s	formation_s
DCS	Formation=is	formation_is
DCS	Formation=sis	formation_sis
DCS	Formation=sa	formation_sa
DCS	Voice=Pass	prayoga_karmaNi|paxa_Awmane
DCS	Case=Ind	ind
DCS	VerbForm=Part	verbform_part
DCS	VerbForm=Gdv	verbform_gdv
DCS	VerbForm=Conv	verbform_abs
DCS	VerbForm=Inf	verbform_inf|kqw_wumun
DCS	Case=Cpd	compound_base
Svarupa	NounType=Name	nt_nam
Svarupa	NounType=Deictic	nt_dei
Svarupa	NounType=Cardinal	nt_car
Svarupa	Gender=Masculine	gender_masc
Svarupa	Gender=Feminine	gender_fem
Svarupa	Gender=Neuter	gender_neut
Svarupa	Gender=triliṅgam	gender_any
Svarupa	Case=Nominative	case_nom
Svarupa	Case=Accusative	case_acc
Svarupa	Case=Instrumental	case_ins
Svarupa	Case=Dative	case_dat
Svarupa	Case=Ablative	case_abl
Svarupa	Case=Genitive	case_gen
Svarupa	Case=Locative	case_loc
Svarupa	Case=Vocative	case_voc
Svarupa	Number=Singular	num_sg
Svarupa	Number=Dual	num_du
Svarupa	Number=Plural	num_pl
Svarupa	Preverb=Preverb	prev
Svarupa	Person=1	person_1
Svarupa	Person=2	person_2
Svarupa	Person=3	person_3
Svarupa	Conjugation=Causative	ca
Svarupa	Conjugation=Desiderative	des
Svarupa	Conjugation=Intensive	int
Svarupa	Conjugation=Intensive-luk	int_luk
Svarupa	Conjugation=Causative-Intensive	ca_int
Svarupa	Conjugation=Desiderative-Intensive	des_int
Svarupa	Conjugation=Desiderative-Causative	des_ca
Svarupa	Conjugation=Desiderative-Causative-Intensive	des_ca_int
Svarupa	Tense=Present	tense_pres
Svarupa	Tense=Past	tense_past
Svarupa	Tense=Future	tense_fut
Svarupa	Tense=Aorist	tense_aor
Svarupa	Tense=Perfect	tense_perf
Svarupa	Tense=Imperfect	tense_impft
Svarupa	Tense=Pluperfect	tense_plp
Svarupa	Mood=Indicative	mood_ind
Svarupa	Mood=Imperative	mood_imp
Svarupa	Mood=Optative	mood_opt
Svarupa	Mood=Subjunctive	mood_subj
Svarupa	Mood=Injunctive	mood_jus
Svarupa	Mood=Precative	mood_prec
Svarupa	Mood=Jussive	mood_inj
Svarupa	Mood=Conditional	mood_cond
Svarupa	Formation=Periphrastic	formation_peri
Svarupa	Formation=root	formation_root
Svarupa	Formation=them	formation_them
Svarupa	Formation=red	formation_red
Svarupa	Formation=s	formation_s
Svarupa	Formation=is	formation_is
Svarupa	Formation=sis	formation_sis
Svarupa	Formation=sa	formation_sa
Svarupa	Voice=Active	prayoga_karwari|paxa_parasmE
Svarupa	Voice=Middle	prayoga_karwari|paxa_Awmane
Svarupa	Voice=Passive	prayoga_karmaNi|paxa_Awmane
Svarupa	Voice=Vedic-Active	prayoga_vedic_karwari|paxa_parasmE
Svarupa	Voice=Vedic-Middle	prayoga_vedic_karwari|paxa_Awmane
Svarupa	Voice=Vedic-Passive	prayoga_vedic_karmaNi|paxa_Awmane
Svarupa	Class=Class 1	class_1
Svarupa	Class=Class 2	class_2
Svarupa	Class=Class 3	class_3
Svarupa	Class=Class 4	class_4
Svarupa	Class=Class 5	class_5
Svarupa	Class=Class 6	class_6
Svarupa	Class=Class 7	class_7
Svarupa	Class=Class 8	class_8
Svarupa	Class=Class 9	class_9
Svarupa	Class=Class 10	class_10
Svarupa	Class=Denominative Verb	class_vn
Svarupa	Class=Sūtra Verb	class_sn
Svarupa	Indeclinable=Indeclinable	ind
Svarupa	Indeclinable=krt-avyayam	krt_ind
Svarupa	Indeclinable=tad-avyayam	tad_ind
Svarupa	PrimaryDerivative=Present Active Participle	verbform_part|tense_pres|prayoga_karwari|paxa_parasmE
Svarupa	PrimaryDerivative=Present Middle Participle	verbform_part|tense_pres|prayoga_karwari|paxa_Awmane
Svarupa	PrimaryDerivative=Present Passive Participle	verbform_part|tense_pres|prayoga_karmaNi|paxa_Awmane
Svarupa	PrimaryDerivative=Past Active Participle	verbform_part|tense_past|prayoga_karwari
Svarupa	PrimaryDerivative=Past Passive Participle	verbform_part|tense_past|prayoga_karmaNi
Svarupa	PrimaryDerivative=Perfect Active Participle	verbform_part|tense_perf|prayoga_kartari|pada_parasmai
Svarupa	PrimaryDerivative=Perfect Middle Participle	verbform_part|tense_perf|prayoga_kartari|pada_atmane
Svarupa	PrimaryDerivative=Future Active Participle	verbform_part|tense_fut|prayoga_kartari|pada_parasmai
Svarupa	PrimaryDerivative=Future Middle Participle	verbform_part|tense_fut|prayoga_kartari|pada_atmane
Svarupa	PrimaryDerivative=Future Passive Participle - yat	verbform_gdv|kqw_yaw
Svarupa	PrimaryDerivative=Future Passive Participle - anīyar	verbform_gdv|kqw_anIyar
Svarupa	PrimaryDerivative=Future Passive Participle - tavya	verbform_gdv|kqw_wavyaw
Svarupa	PrimaryDerivative=Absolutive - ktvā	verbform_abs|kqw_kwvA
Svarupa	PrimaryDerivative=Absolutive - lyap	verbform_abs|kqw_lyap
Svarupa	PrimaryDerivative=Absolutive - ṇamul	verbform_abs|kqw_Namul
Svarupa	PrimaryDerivative=Infinitive - tumun	verbform_inf|kqw_wumun
Svarupa	PrimaryDerivative=Future Passive Participle - ṇyat	verbform_gdv|kqw_Nyaw
Svarupa	PrimaryDerivative=kyap	kqw_kyap
Svarupa	PrimaryDerivative=kelimar	kqw_kelimar
Svarupa	PrimaryDerivative=ṇvul	kqw_Nvul
Svarupa	PrimaryDerivative=tṛc	kqw_wqc
Svarupa	PrimaryDerivative=lyu	kqw_lyu
Svarupa	PrimaryDerivative=ṇini	kqw_Nini
Svarupa	PrimaryDerivative=ac	kqw_ac
Svarupa	PrimaryDerivative=ka	kqw_ka
Svarupa	PrimaryDerivative=śa	kqw_Sa
Svarupa	PrimaryDerivative=ṇa	kqw_Na
Svarupa	PrimaryDerivative=ṣvun	kqw_Rvun
Svarupa	PrimaryDerivative=thakan	kqw_Wakan
Svarupa	PrimaryDerivative=ṇyuṭ	kqw_Nyut
Svarupa	PrimaryDerivative=vun	kqw_vun
Svarupa	PrimaryDerivative=aṇ	kqw_aN
Svarupa	PrimaryDerivative=ṭak	kqw_tak
Svarupa	PrimaryDerivative=ṭa	kqw_ta
Svarupa	PrimaryDerivative=in	kqw_in
Svarupa	PrimaryDerivative=khaś	kqw_KaS
Svarupa	PrimaryDerivative=khac	kqw_Kac
Svarupa	PrimaryDerivative=ḍa	kqw_da
Svarupa	PrimaryDerivative=khyun	kqw_Kyun
Svarupa	PrimaryDerivative=khiṣṇuc	kqw_KiRNuc
Svarupa	PrimaryDerivative=khukañ	kqw_KukaF
Svarupa	PrimaryDerivative=kvin	kqw_kvin
Svarupa	PrimaryDerivative=kañ	kqw_kaF
Svarupa	PrimaryDerivative=kvip	kqw_kvip
Svarupa	PrimaryDerivative=ṇvi	kqw_Nvi
Svarupa	PrimaryDerivative=ñyuṭ	kqw_Fyut
Svarupa	PrimaryDerivative=viṭ	kqw_vit
Svarupa	PrimaryDerivative=kap	kqw_kap
Svarupa	PrimaryDerivative=ṇvin	kqw_Nvin
Svarupa	PrimaryDerivative=vic	kqw_vic
Svarupa	PrimaryDerivative=manin	kqw_manin
Svarupa	PrimaryDerivative=kvanip	kqw_kvanip
Svarupa	PrimaryDerivative=vanip	kqw_vanip
Svarupa	PrimaryDerivative=ini	kqw_ini
Svarupa	PrimaryDerivative=ṅvanip	kqw_fvanip
Svarupa	PrimaryDerivative=atṛn	kqw_awqn
Svarupa	PrimaryDerivative=śāyac	kqw_SAyac
Svarupa	PrimaryDerivative=śānan	kqw_SAnan
Svarupa	PrimaryDerivative=cānaś	kqw_cAnaS
Svarupa	PrimaryDerivative=tṛn	kqw_wqn
Svarupa	PrimaryDerivative=iṣṇuc	kqw_iRNuc
Svarupa	PrimaryDerivative=gsnu	kqw_gsnu
Svarupa	PrimaryDerivative=knu	kqw_knu
Svarupa	PrimaryDerivative=ghinuṇ	kqw_GinuN
Svarupa	PrimaryDerivative=vuñ	kqw_vuF
Svarupa	PrimaryDerivative=yuc	kqw_yuc
Svarupa	PrimaryDerivative=ukañ	kqw_ukaF
Svarupa	PrimaryDerivative=ṣākan	kqw_RAkan
Svarupa	PrimaryDerivative=āluc	kqw_Aluc
Svarupa	PrimaryDerivative=ru	kqw_ru
Svarupa	PrimaryDerivative=kmarac	kqw_kmarac
Svarupa	PrimaryDerivative=ghurac	kqw_Gurac
Svarupa	PrimaryDerivative=kurac	kqw_kurac
Svarupa	PrimaryDerivative=kvarap	kqw_kvarap
Svarupa	PrimaryDerivative=ūka	kqw_Uka
Svarupa	PrimaryDerivative=ra	kqw_ra
Svarupa	PrimaryDerivative=u	kqw_u
Svarupa	PrimaryDerivative=ki	kqw_ki
Svarupa	PrimaryDerivative=kin	kqw_kin
Svarupa	PrimaryDerivative=najiṅ	kqw_najif
Svarupa	PrimaryDerivative=āru	kqw_Aru
Svarupa	PrimaryDerivative=kruk	kqw_kruk
Svarupa	PrimaryDerivative=klukan	kqw_klukan
Svarupa	PrimaryDerivative=varac	kqw_varac
Svarupa	PrimaryDerivative=ḍu	kqw_du
Svarupa	PrimaryDerivative=ṣṭran	kqw_Rtran
Svarupa	PrimaryDerivative=itra	kqw_iwra
Svarupa	PrimaryDerivative=ghañ	kqw_GaF
Svarupa	PrimaryDerivative=ap	kqw_ap
Svarupa	PrimaryDerivative=ktri	kqw_kwri
Svarupa	PrimaryDerivative=athuc	kqw_aWuc
Svarupa	PrimaryDerivative=naṅ	kqw_naf
Svarupa	PrimaryDerivative=nan	kqw_nan
Svarupa	PrimaryDerivative=ktin	kqw_kwin
Svarupa	PrimaryDerivative=a	kqw_a
Svarupa	PrimaryDerivative=aṅ	kqw_af
Svarupa	PrimaryDerivative=iñ	kqw_iF
Svarupa	PrimaryDerivative=ṇvuc	kqw_Nvuc
Svarupa	PrimaryDerivative=ani	kqw_ani
Svarupa	PrimaryDerivative=lyuṭ	kqw_lyut
Svarupa	PrimaryDerivative=gha	kqw_Ga
Svarupa	PrimaryDerivative=khal	kqw_Kal
Svarupa	PrimaryDerivative=ktic	kqw_kwic
Svarupa	PrimaryDerivative=se	kqw_se
Svarupa	PrimaryDerivative=sen	kqw_sen
Svarupa	PrimaryDerivative=ase	kqw_ase
Svarupa	PrimaryDerivative=asen	kqw_asen
Svarupa	PrimaryDerivative=kse	kqw_kse
Svarupa	PrimaryDerivative=ksen	kqw_ksen
Svarupa	PrimaryDerivative=adhyai	kqw_aXyE
Svarupa	PrimaryDerivative=adhyain	kqw_aXyEn
Svarupa	PrimaryDerivative=kadhyai	kqw_kaXyE
Svarupa	PrimaryDerivative=kadhyain	kqw_kaXyEn
Svarupa	PrimaryDerivative=śadhyai	kqw_SaXyE
Svarupa	PrimaryDerivative=śadhyain	kqw_SaXyEn
Svarupa	PrimaryDerivative=tavai	kqw_wavE
Svarupa	PrimaryDerivative=taveṅ	kqw_wavef
Svarupa	PrimaryDerivative=tavena	kqw_wavena
Svarupa	PrimaryDerivative=kamul	kqw_kamul
Svarupa	PrimaryDerivative=tosun	kqw_wosun
Svarupa	PrimaryDerivative=kasun	kqw_kasun
Svarupa	PrimaryDerivative=ken	kqw_ken
Svarupa	PrimaryDerivative=kenya	kqw_kenya
Svarupa	PrimaryDerivative=tvan	kqw_wvan
